3,12
4,18
5,25
6,33
7,42
8,52
9,63
10,75
11,88
12,102
13,117
14,133
15,150
16,168
17,187
18,207
19,228
20,250
21,273
22,297
23,322
24,348
25,375
26,403
27,432
28,462
29,493
30,525
31,558
32,592
33,627
34,663
35,700
36,738
37,777
38,817
39,858
40,900
41,943
42,987
43,1032
44,1078
45,1125
46,1173
47,1222
48,1272
49,1323
50,1375
51,1428
52,1482
53,1537
54,1593
55,1650
56,1708
57,1767
58,1827
59,1888
60,1950
61,2013
62,2077
63,2142
64,2208
65,2275
66,2343
67,2412
68,2482
69,2553
70,2625
71,2698
72,2772
73,2847
74,2923
75,3000
76,3078
77,3157
78,3237
79,3318
80,3400
81,3483
82,3567
83,3652
84,3738
85,3825
86,3913
87,4002
88,4092
89,4183
90,4275
91,4368
92,4462
93,4557
94,4653
95,4750
96,4848
97,4947
98,5047
99,5148
100,5350

