3,3.28
4,5.84
5,10.14
6,15.22
7,21.16
8,27.58
9,34.42
10,45.44
11,54.58
12,63.4
13,79.04
14,89.34
15,103.42
16,121.02
17,132.02
18,150.84
19,170.08
20,193.74
21,208.68
22,232.72
23,250.08
24,278.38
25,305.64
26,324.02
27,352.72
28,381.86
29,407.74
30,437.08
31,460.38
32,491.52
33,517.48
34,556.5
35,591.28
36,631.7
37,681.06
38,697.04
39,740.72
40,787.82
41,815.42
42,856.6
43,899.64
44,933.18
45,1003.42
46,1032.5
47,1090.34
48,1129.22
49,1198.52
50,1236.18
51,1283.58
52,1312.18
53,1376.22
54,1422.62
55,1507.58
56,1532.54
57,1589.44
58,1649.58
59,1754.26
60,1760.5
61,1836.26
62,1907.5
63,1936.82
64,1999.34
65,2025.08
66,2140.36
67,2185.48
68,2284.72
69,2316.16
70,2422.44
71,2512.98
72,2581.08
73,2628.42
74,2710.6
75,2782.12
76,2842.74
77,2934.78
78,2975.64
79,3112.2
80,3152.72
81,3191.16
82,3318.64
83,3382.28
84,3489.82
85,3581.52
86,3619.3
87,3722.4
88,3827.98
89,3920.76
90,3971.72
91,4094.78
92,4154.16
93,4300.84
94,4369.18
95,4454.26
96,4526.24
97,4675.66
98,4786.26
99,4836.3
100,4994.68
